ben title kids_S kids_V kids_P MPAA rot_all rot_top rot_aud live_action imdb
1 inception 1 7 4 PG13 86 82 91 1 8.8
0 hunger_games 3 7 3 PG13 84 79 81 1 7.3
0 catching_fire 3 6 4 PG13 89 88 90 1 7.8
0 godzilla 1 5 3 PG13 74 67 70 1 7.1
0 maleficent 1 4 2 PG 49 44 75 1 7.4
1 prince_of_egypt 1 4 1 PG 79 73 75 0 6.9
1 wall_e 1 2 1 G 96 98 89 0 8.5
1 secret_life_of_walter_mitty 2 3 3 PG 50 42 72 1 7.4
0 walking_with_dinosaurs 1 4 2 PG 24 16 42 0 5.2
1 enders_game 1 6 3 PG13 60 50 67 1 6.8
1 world_war_z 1 7 4 PG13 67 69 72 1 7.1
1 i_am_legend 2 7 3 PG13 70 58 68 1 7.2
0 saratov_approach NA NA NA PG13 NA NA 89 1 5.7
0 percy_jackson_sea_of_monsters 1 5 3 PG 41 39 57 1 6
1 the_book_thief 1 5 2 PG13 46 42 75 1 7.6
0 harry_potter_6 4 6 3 PG 84 86 77 1 7.5
1 monsters_university 1 3 1 G 78 77 82 0 7.4
1 toy_story_1 NA NA NA G 100 100 92 0 8.3
1 toy_story_2 1 3 0 G 100 100 85 0 7.9
1 toy_story_3 1 3 1 G 99 100 89 0 8.4
0 pacific_rim 2 7 4 PG13 72 65 77 1 7.1
1 finding_nemo 0 3 0 G 99 100 86 0 8.2
0 cars 2 3 2 G 74 77 80 0 7.3
0 cars_2 2 4 1 G 39 41 51 0 6.4
1 batman_begins 2 6 3 PG13 85 63 94 1 8.3
0 the_dark_knight 2 7 3 PG13 94 90 94 1 9
1 signs 1 5 4 PG13 74 60 67 1 6.7
1 the_sixth_sense 3 6 3 PG13 85 81 89 1 8.2
0 the_prestige 4 7 3 PG13 76 59 92 1 8.5
0 captain_america 3 6 4 PG13 89 81 94 1 6.8
1 gravity 1 5 5 PG13 97 98 81 1 8.1
1 the_lego_movie 1 3 2 PG 96 95 88 0 8
1 monsters_inc 1 4 1 G 96 90 90 0 8.1
1 the_incredibles 2 4 1 PG 97 96 74 0 8
1 ratatouille 2 3 1 G 96 96 87 0 8
0 cloverfield 4 6 5 PG13 77 73 68 1 7.1
0 man_of_steel 3 6 3 PG13 55 50 76 1 7.3
1 the_lion_king 0 3 0 G 90 91 93 0 8.5
1 mulan 1 3 1 G 86 75 84 0 7.5
1 non_stop 1 5 5 PG13 59 66 66 1 7.1
1 hobbit_1 1 6 2 PG13 64 47 83 1 8
1 hobbit_2 1 7 1 PG13 74 66 86 1 8.1
1 saving_mr_banks 1 4 2 PG13 79 72 85 1 7.6
1 its_a_wonderful_life NA NA NA NR 94 90 96 1 8.7
1 lotr_1 1 7 1 PG13 91 93 95 1 8.8
1 lotr_2 1 7 1 PG13 96 100 95 1 8.8
1 lotr_3 1 7 1 PG13 94 96 86 1 8.9
1 captain_phillips 1 5 4 PG13 93 90 90 1 7.9
1 star_trek_into_darkness 3 5 4 PG13 87 81 90 1 7.9
0 epic 1 4 1 PG 64 38 66 0 6.7
1 frozen 1 3 1 PG 89 86 87 0 7.8
1 tangled 2 4 1 PG 89 89 87 0 7.9
1 star_wars_1 1 5 1 PG 57 40 60 1 6.6
0 star_wars_2 2 5 1 PG 67 42 60 1 6.8
0 star_wars_3 2 7 0 PG13 80 65 65 1 7.7
1 star_wars_4 NA NA NA PG 93 85 96 1 8.7
1 star_wars_5 NA NA NA PG 96 88 97 1 8.8
1 star_wars_6 NA NA NA PG 78 72 95 1 8.4
0 thumb_wars NA NA NA NR NA NA 69 0 6.8
1 muppets_treasure_island 0 3 1 G 70 80 77 1 6.9
0 pirates_1 3 5 3 PG13 79 67 86 1 8.1
1 muppets_christmas_carol 0 1 0 G 69 50 86 1 7.7
0 the_avengers 2 7 3 PG13 92 84 91 1 8.2
0 sherlock_holmes_1 4 7 2 PG13 70 54 77 1 7.6
1 dinosaur 1 4 1 PG 65 66 47 0 6.4
0 after_earth 1 6 1 PG13 11 10 37 1 5
1 narnia_1 1 6 1 PG 76 77 61 1 6.9
0 narnia_2 1 6 1 PG 67 59 73 1 6.6
0 narnia_3 1 5 1 PG 49 41 58 1 6.4
0 ferris_bueller NA NA NA PG13 79 20 92 1 7.9
1 second_hand_lions 2 4 4 PG 59 35 84 1 7.6
1 harry_potter_1 0 4 2 PG 80 74 82 1 7.4
1 harry_potter_2 1 4 3 PG 82 72 79 1 7.3
1 i_am_david 2 5 1 PG 38 30 85 1 7.4
1 up 1 3 0 PG 98 96 90 0 8.3
1 the_mouse_and_the_motorcycle NA NA NA G NA NA 67 0 7.2
1 the_rescuers_down_under NA NA NA G 68 50 68 0 6.9
1 the_wizard_of_oz NA NA NA PG 99 96 89 1 8.1
1 mr_smith_goes_to_washington NA NA NA NR 94 80 94 1 8.3
1 to_kill_a_mockingbird NA NA NA NR 94 67 93 1 8.4
1 ice_age 1 3 1 PG 77 75 82 0 7.6
1 willy_wonka NA NA NA G 89 NA 86 1 6.8
0 charlie_and_the_chocolate_factory 3 4 2 PG 82 77 51 1 7.8
1 a_bugs_life 1 3 1 G 92 95 72 0 7.2
1 amazing_spider_man_2 1 6 3 PG13 53 34 70 1 7.4
1 super_8 2 6 5 PG13 82 81 75 1 7.1
0 edge_of_tomorrow 2 6 5 PG13
mickey add
